subject,component,Local.Date.D1,wof_order,wofoutcome1,Local.Date.D2,Local.Date.D1.Day,Local.Date.D2.Day,day_diff,loseday_block1_1,loseday_block1_2,loseday_block1_3,loseday_block1_41,winday_block1_1,winday_block1_2,winday_block1_3,winday_block1_41,winday_block2_1,winday_block2_2,winday_block2_3,winday_block2_41,loseday_block2_1,loseday_block2_2,loseday_block2_3,loseday_block2_41,winday_X1,winday_X2,winday_X3,loseday_X1,loseday_X2,loseday_X3
263,moodrate,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,2021-01-25,2021-01-26,1,1.4899251370787836,-0.804419674948639,-0.2308334719417833,1.4899251370787836,0.3427527310650723,-0.2308334719417833,-0.2308334719417833,-0.2308334719417833,0.9163389340719279,0.3427527310650723,0.3427527310650723,-0.2308334719417833,-1.3780058779554947,-1.3780058779554947,-1.9515920809623502,-1.9515920809623502,1.1471724060137112,0.5735862030068556,0.5735862030068556,-2.8679310150342783,-2.8679310150342783,-3.4415172180411338
187,moodrate,2021-01-26T10:18:05Z,Winfirst,1,2021-01-26T13:46:01Z,2021-01-26,2021-01-26,0,1.7620972710648555,-0.16446241196605305,0.4777241490442498,-1.4488355339866588,1.7620972710648555,1.1199107100545527,1.1199107100545527,-0.16446241196605305,1.7620972710648555,-0.8066489729763558,0.4777241490442498,0.4777241490442498,-0.8066489729763558,-0.16446241196605305,-0.16446241196605305,-0.8066489729763558,1.9265596830309084,-0.6421865610103028,0.6421865610103028,0.6421865610103029,1.2843731220206056,1.2843731220206056
206,moodrate,2021-01-30T01:13:09Z,Winsec,0,2021-02-03T22:58:28Z,2021-01-30,2021-02-03,4,1.389793973210626,1.389793973210626,1.389793973210626,-0.4483206365195573,3.227908582940809,1.389793973210626,1.389793973210626,-0.4483206365195573,-0.4483206365195573,-0.4483206365195573,-0.4483206365195573,-0.4483206365195573,-2.2864352462497406,-2.2864352462497406,-2.2864352462497406,-0.4483206365195573,0,0,0,-1.8381146097301833,-1.8381146097301833,-1.8381146097301833
27,moodrate,2021-01-30T12:58:13Z,Winfirst,1,2021-01-31T16:42:06Z,2021-01-30,2021-01-31,1,NA,NA,NA,NA,2.538939702692232,-6.9243810073424505,-6.9243810073424505,0.17310952518356143,NA,NA,NA,NA,-2.192720652325109,0.17310952518356143,0.17310952518356143,0.17310952518356143,NA,NA,NA,NA,NA,NA
111,moodrate,2021-01-30T13:02:06Z,Winsec,0,2021-01-31T15:15:48Z,2021-01-30,2021-01-31,1,0.7484472275234543,1.4458639622612184,0.05103049278569011,0.7484472275234543,0.7484472275234543,1.4458639622612184,1.4458639622612184,-0.6463862419520741,0.05103049278569011,0.05103049278569011,0.05103049278569011,1.4458639622612184,-1.3438029766898383,-1.3438029766898383,-1.3438029766898383,-2.0412197114276025,0.6974167347377642,0.6974167347377642,0.6974167347377642,-2.0922502042132924,-2.0922502042132924,-2.0922502042132924
64,moodrate,2021-01-30T13:04:41Z,Winfirst,1,2021-01-31T20:05:27Z,2021-01-30,2021-01-31,1,0.3732442712568664,0.3732442712568664,0.3732442712568664,-2.0752381481881783,0.3732442712568664,0.3732442712568664,0.3732442712568664,0.3732442712568664,2.821726690701911,2.821726690701911,0.3732442712568664,2.821726690701911,0.3732442712568664,-2.0752381481881783,-2.0752381481881783,0.3732442712568664,2.4484824194450447,2.4484824194450447,0,2.4484824194450447,0,0
79,moodrate,2021-01-30T12:11:53Z,Winfirst,1,2021-01-31T15:43:10Z,2021-01-30,2021-01-31,1,-0.031570877836342846,-0.031570877836342846,-0.031570877836342846,-1.1821539812052857,1.1190122255326,0.5437206738481286,0.5437206738481286,1.1190122255326,-1.1821539812052857,-0.6068624295208143,-0.6068624295208143,-1.1821539812052857,-1.1821539812052857,-1.1821539812052857,-1.1821539812052857,1.6943037772170715,-2.3011662067378857,-1.7258746550534143,-1.7258746550534143,0,0,0
7,moodrate,2021-01-30T12:33:17Z,Winfirst,1,2021-01-31T15:47:23Z,2021-01-30,2021-01-31,1,0.7371114795831993,2.211334438749598,0.7371114795831993,-0.7371114795831993,-0.7371114795831993,-2.211334438749598,-0.7371114795831993,-0.7371114795831993,2.211334438749598,0.7371114795831993,0.7371114795831993,0.7371114795831993,-2.211334438749598,-2.211334438749598,-2.211334438749598,-0.7371114795831993,2.9484459183327973,1.4742229591663987,1.4742229591663987,-1.4742229591663985,-1.4742229591663985,-1.4742229591663985
183,moodrate,2021-01-30T13:39:57Z,Winsec,0,2021-02-04T16:46:28Z,2021-01-30,2021-02-04,5,0.6914074537631252,0.6914074537631252,-1.2979052202220063,0.6914074537631252,-1.2979052202220063,-1.2979052202220063,0.6914074537631252,-1.2979052202220063,2.680720127748257,-1.2979052202220063,-1.2979052202220063,-1.2979052202220063,-3.2872178942071377,-1.2979052202220063,-1.2979052202220063,-1.2979052202220063,3.9786253479702633,0,0,-3.978625347970263,-1.9893126739851315,-1.9893126739851315
236,moodrate,2021-01-30T16:08:10Z,Winsec,0,2021-01-31T17:04:57Z,2021-01-30,2021-01-31,1,-0.6366427142907488,-0.6366427142907488,-0.6366427142907488,-0.6366427142907488,-0.6366427142907488,-0.6366427142907488,0.33914611882778223,-0.6366427142907488,2.290723785064844,1.3149349519463132,0.33914611882778223,0.33914611882778223,-5.515586879883404,-0.6366427142907488,-1.6124315474092799,-0.6366427142907488,2.927366499355593,1.9515776662370619,0.975788833118531,-4.878944165592656,0,-0.975788833118531
